clave,nombre,apellido,puesto,jornada_contratada,sucursal,fecha,hora_inicio,hora_fin,minutos_descanso
T001-010,Roberto,Camacho Jiménez,Supervisor(a) de piso,48,Coapa,2026-07-26,12:30,21:00,30
T001-011,Pablo,Vargas Luna,Gerente de tienda,48,Coapa,2026-07-20,09:00,17:30,30
T001-011,Pablo,Vargas Luna,Gerente de tienda,48,Coapa,2026-07-21,09:00,17:30,30
T001-011,Pablo,Vargas Luna,Gerente de tienda,48,Coapa,2026-07-22,09:00,17:30,30
T001-011,Pablo,Vargas Luna,Gerente de tienda,48,Coapa,2026-07-23,09:00,17:30,30
T001-011,Pablo,Vargas Luna,Gerente de tienda,48,Coapa,2026-07-24,09:00,17:30,30
T001-011,Pablo,Vargas Luna,Gerente de tienda,48,Coapa,2026-07-26,09:00,17:30,30
T001-012,Araceli,Estrada Serrano,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-012,Araceli,Estrada Serrano,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-012,Araceli,Estrada Serrano,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-012,Araceli,Estrada Serrano,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-012,Araceli,Estrada Serrano,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-012,Araceli,Estrada Serrano,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-013,Antonio,Camacho Flores,Vendedor(a) de piso,48,Coapa,2026-07-20,12:30,21:00,30
T001-013,Antonio,Camacho Flores,Vendedor(a) de piso,48,Coapa,2026-07-21,12:30,21:00,30
T001-013,Antonio,Camacho Flores,Vendedor(a) de piso,48,Coapa,2026-07-22,12:30,21:00,30
T001-013,Antonio,Camacho Flores,Vendedor(a) de piso,48,Coapa,2026-07-23,12:30,21:00,30
T001-013,Antonio,Camacho Flores,Vendedor(a) de piso,48,Coapa,2026-07-24,12:30,21:00,30
T001-013,Antonio,Camacho Flores,Vendedor(a) de piso,48,Coapa,2026-07-25,12:30,21:00,30
T001-014,Rocío,Méndez Méndez,Supervisor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-014,Rocío,Méndez Méndez,Supervisor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-014,Rocío,Méndez Méndez,Supervisor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-014,Rocío,Méndez Méndez,Supervisor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-014,Rocío,Méndez Méndez,Supervisor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-014,Rocío,Méndez Méndez,Supervisor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-015,Miguel,Delgado Téllez,Vendedor(a) de piso,24,Coapa,2026-07-23,09:00,15:00,0
T001-015,Miguel,Delgado Téllez,Vendedor(a) de piso,24,Coapa,2026-07-24,09:00,15:00,0
T001-015,Miguel,Delgado Téllez,Vendedor(a) de piso,24,Coapa,2026-07-25,09:00,15:00,0
T001-015,Miguel,Delgado Téllez,Vendedor(a) de piso,24,Coapa,2026-07-26,09:00,15:00,0
T001-016,Araceli,Ruiz Padilla,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-016,Araceli,Ruiz Padilla,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-016,Araceli,Ruiz Padilla,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-016,Araceli,Ruiz Padilla,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-016,Araceli,Ruiz Padilla,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-016,Araceli,Ruiz Padilla,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-017,Fernanda,Vázquez Pérez,Vendedor(a) de piso,24,Coapa,2026-07-20,09:00,15:00,0
T001-017,Fernanda,Vázquez Pérez,Vendedor(a) de piso,24,Coapa,2026-07-24,09:00,15:00,0
T001-017,Fernanda,Vázquez Pérez,Vendedor(a) de piso,24,Coapa,2026-07-25,09:00,15:00,0
T001-017,Fernanda,Vázquez Pérez,Vendedor(a) de piso,24,Coapa,2026-07-26,09:00,15:00,0
T001-018,Elizabeth,Rodríguez Estrada,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-018,Elizabeth,Rodríguez Estrada,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-018,Elizabeth,Rodríguez Estrada,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-018,Elizabeth,Rodríguez Estrada,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-018,Elizabeth,Rodríguez Estrada,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-018,Elizabeth,Rodríguez Estrada,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-019,Luis,López Rivera,Cajero(a),24,Coapa,2026-07-20,15:00,21:00,0
T001-019,Luis,López Rivera,Cajero(a),24,Coapa,2026-07-21,15:00,21:00,0
T001-019,Luis,López Rivera,Cajero(a),24,Coapa,2026-07-22,15:00,21:00,0
T001-019,Luis,López Rivera,Cajero(a),24,Coapa,2026-07-26,15:00,21:00,0
T001-020,Beatriz,Salazar Cruz,Cajero(a),24,Coapa,2026-07-23,15:00,21:00,0
T001-020,Beatriz,Salazar Cruz,Cajero(a),24,Coapa,2026-07-24,15:00,21:00,0
T001-020,Beatriz,Salazar Cruz,Cajero(a),24,Coapa,2026-07-25,09:00,15:00,0
T001-020,Beatriz,Salazar Cruz,Cajero(a),24,Coapa,2026-07-26,09:00,15:00,0
T001-021,Andrés,Guerrero Carrillo,Almacenista,24,Coapa,2026-07-20,15:00,21:00,0
T001-021,Andrés,Guerrero Carrillo,Almacenista,24,Coapa,2026-07-21,15:00,21:00,0
T001-021,Andrés,Guerrero Carrillo,Almacenista,24,Coapa,2026-07-25,15:00,21:00,0
T001-021,Andrés,Guerrero Carrillo,Almacenista,24,Coapa,2026-07-26,15:00,21:00,0
T001-022,Teresa,Medina Espinoza,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-022,Teresa,Medina Espinoza,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-022,Teresa,Medina Espinoza,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-022,Teresa,Medina Espinoza,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-022,Teresa,Medina Espinoza,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-022,Teresa,Medina Espinoza,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-023,Rosa,Carrillo Ríos,Supervisor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-023,Rosa,Carrillo Ríos,Supervisor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-023,Rosa,Carrillo Ríos,Supervisor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-023,Rosa,Carrillo Ríos,Supervisor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-023,Rosa,Carrillo Ríos,Supervisor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-023,Rosa,Carrillo Ríos,Supervisor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-024,Pablo,Ortiz Morales,Vendedor(a) de piso,24,Coapa,2026-07-20,09:00,15:00,0
T001-024,Pablo,Ortiz Morales,Vendedor(a) de piso,24,Coapa,2026-07-21,09:00,15:00,0
T001-024,Pablo,Ortiz Morales,Vendedor(a) de piso,24,Coapa,2026-07-22,09:00,15:00,0
T001-024,Pablo,Ortiz Morales,Vendedor(a) de piso,24,Coapa,2026-07-26,09:00,15:00,0
T001-025,Manuel,Cruz Gómez,Vendedor(a) de piso,24,Coapa,2026-07-20,15:00,21:00,0
T001-025,Manuel,Cruz Gómez,Vendedor(a) de piso,24,Coapa,2026-07-24,15:00,21:00,0
T001-025,Manuel,Cruz Gómez,Vendedor(a) de piso,24,Coapa,2026-07-25,15:00,21:00,0
T001-025,Manuel,Cruz Gómez,Vendedor(a) de piso,24,Coapa,2026-07-26,15:00,21:00,0
T001-026,Javier,Camacho Bautista,Vendedor(a) de piso,24,Coapa,2026-07-22,09:00,15:00,0
T001-026,Javier,Camacho Bautista,Vendedor(a) de piso,24,Coapa,2026-07-23,09:00,15:00,0
T001-026,Javier,Camacho Bautista,Vendedor(a) de piso,24,Coapa,2026-07-24,09:00,15:00,0
T001-026,Javier,Camacho Bautista,Vendedor(a) de piso,24,Coapa,2026-07-25,09:00,15:00,0
T001-027,Tomás,Ávila Navarro,Cajero(a),48,Coapa,2026-07-21,09:00,17:30,30
T001-027,Tomás,Ávila Navarro,Cajero(a),48,Coapa,2026-07-22,09:00,17:30,30
T001-027,Tomás,Ávila Navarro,Cajero(a),48,Coapa,2026-07-23,09:00,17:30,30
T001-027,Tomás,Ávila Navarro,Cajero(a),48,Coapa,2026-07-24,09:00,17:30,30
T001-027,Tomás,Ávila Navarro,Cajero(a),48,Coapa,2026-07-25,09:00,17:30,30
T001-027,Tomás,Ávila Navarro,Cajero(a),48,Coapa,2026-07-26,09:00,17:30,30
T001-028,Héctor,Peña Lara,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-028,Héctor,Peña Lara,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-028,Héctor,Peña Lara,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-028,Héctor,Peña Lara,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-028,Héctor,Peña Lara,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-028,Héctor,Peña Lara,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-029,Julio,Contreras Carrillo,Vendedor(a) de piso,48,Coapa,2026-07-20,12:30,21:00,30
T001-029,Julio,Contreras Carrillo,Vendedor(a) de piso,48,Coapa,2026-07-21,12:30,21:00,30
T001-029,Julio,Contreras Carrillo,Vendedor(a) de piso,48,Coapa,2026-07-22,12:30,21:00,30
T001-029,Julio,Contreras Carrillo,Vendedor(a) de piso,48,Coapa,2026-07-24,12:30,21:00,30
T001-029,Julio,Contreras Carrillo,Vendedor(a) de piso,48,Coapa,2026-07-25,12:30,21:00,30
T001-029,Julio,Contreras Carrillo,Vendedor(a) de piso,48,Coapa,2026-07-26,12:30,21:00,30
T001-030,Sergio,Núñez Estrada,Cajero(a),48,Coapa,2026-07-20,12:30,21:00,30
T001-030,Sergio,Núñez Estrada,Cajero(a),48,Coapa,2026-07-21,12:30,21:00,30
T001-030,Sergio,Núñez Estrada,Cajero(a),48,Coapa,2026-07-22,12:30,21:00,30
T001-030,Sergio,Núñez Estrada,Cajero(a),48,Coapa,2026-07-23,12:30,21:00,30
T001-030,Sergio,Núñez Estrada,Cajero(a),48,Coapa,2026-07-24,12:30,21:00,30
T001-030,Sergio,Núñez Estrada,Cajero(a),48,Coapa,2026-07-25,12:30,21:00,30
T001-031,Luis,Quintero Campos,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-031,Luis,Quintero Campos,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-031,Luis,Quintero Campos,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-031,Luis,Quintero Campos,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-031,Luis,Quintero Campos,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-031,Luis,Quintero Campos,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-032,Jimena,Meza Pacheco,Cajero(a),48,Coapa,2026-07-20,12:30,21:00,30
T001-032,Jimena,Meza Pacheco,Cajero(a),48,Coapa,2026-07-21,12:30,21:00,30
T001-032,Jimena,Meza Pacheco,Cajero(a),48,Coapa,2026-07-22,12:30,21:00,30
T001-032,Jimena,Meza Pacheco,Cajero(a),48,Coapa,2026-07-23,12:30,21:00,30
T001-032,Jimena,Meza Pacheco,Cajero(a),48,Coapa,2026-07-24,12:30,21:00,30
T001-032,Jimena,Meza Pacheco,Cajero(a),48,Coapa,2026-07-26,12:30,21:00,30
T001-033,Sandra,Rojas Olvera,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-033,Sandra,Rojas Olvera,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-033,Sandra,Rojas Olvera,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-033,Sandra,Rojas Olvera,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-033,Sandra,Rojas Olvera,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-033,Sandra,Rojas Olvera,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-034,Juana,López Estrada,Almacenista,48,Coapa,2026-07-20,09:00,17:30,30
T001-034,Juana,López Estrada,Almacenista,48,Coapa,2026-07-21,09:00,17:30,30
T001-034,Juana,López Estrada,Almacenista,48,Coapa,2026-07-22,09:00,17:30,30
T001-034,Juana,López Estrada,Almacenista,48,Coapa,2026-07-23,09:00,17:30,30
T001-034,Juana,López Estrada,Almacenista,48,Coapa,2026-07-24,09:00,17:30,30
T001-034,Juana,López Estrada,Almacenista,48,Coapa,2026-07-25,09:00,17:30,30
T001-035,Ramón,Álvarez Fuentes,Almacenista,24,Coapa,2026-07-20,09:00,15:00,0
T001-035,Ramón,Álvarez Fuentes,Almacenista,24,Coapa,2026-07-24,09:00,15:00,0
T001-035,Ramón,Álvarez Fuentes,Almacenista,24,Coapa,2026-07-25,09:00,15:00,0
T001-035,Ramón,Álvarez Fuentes,Almacenista,24,Coapa,2026-07-26,09:00,15:00,0
T001-036,Eduardo,Peña Romero,Cajero(a),48,Coapa,2026-07-20,09:00,17:30,30
T001-036,Eduardo,Peña Romero,Cajero(a),48,Coapa,2026-07-21,09:00,17:30,30
T001-036,Eduardo,Peña Romero,Cajero(a),48,Coapa,2026-07-22,09:00,17:30,30
T001-036,Eduardo,Peña Romero,Cajero(a),48,Coapa,2026-07-23,09:00,17:30,30
T001-036,Eduardo,Peña Romero,Cajero(a),48,Coapa,2026-07-25,09:00,17:30,30
T001-036,Eduardo,Peña Romero,Cajero(a),48,Coapa,2026-07-26,09:00,17:30,30
T001-037,Antonio,Campos Ríos,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-037,Antonio,Campos Ríos,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-037,Antonio,Campos Ríos,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-037,Antonio,Campos Ríos,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-037,Antonio,Campos Ríos,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-037,Antonio,Campos Ríos,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-038,Ismael,Rivera Ortiz,Almacenista,24,Coapa,2026-07-21,15:00,21:00,0
T001-038,Ismael,Rivera Ortiz,Almacenista,24,Coapa,2026-07-22,15:00,21:00,0
T001-038,Ismael,Rivera Ortiz,Almacenista,24,Coapa,2026-07-23,15:00,21:00,0
T001-038,Ismael,Rivera Ortiz,Almacenista,24,Coapa,2026-07-24,15:00,21:00,0
T001-039,Verónica,Ramírez Fuentes,Asesor(a) de crédito,48,Coapa,2026-07-20,09:00,17:30,30
T001-039,Verónica,Ramírez Fuentes,Asesor(a) de crédito,48,Coapa,2026-07-21,09:00,17:30,30
T001-039,Verónica,Ramírez Fuentes,Asesor(a) de crédito,48,Coapa,2026-07-22,09:00,17:30,30
T001-039,Verónica,Ramírez Fuentes,Asesor(a) de crédito,48,Coapa,2026-07-23,09:00,17:30,30
T001-039,Verónica,Ramírez Fuentes,Asesor(a) de crédito,48,Coapa,2026-07-25,09:00,17:30,30
T001-039,Verónica,Ramírez Fuentes,Asesor(a) de crédito,48,Coapa,2026-07-26,09:00,17:30,30
T001-040,Laura,Vázquez Ramírez,Vendedor(a) de piso,48,Coapa,2026-07-20,12:30,21:00,30
T001-040,Laura,Vázquez Ramírez,Vendedor(a) de piso,48,Coapa,2026-07-22,12:30,21:00,30
T001-040,Laura,Vázquez Ramírez,Vendedor(a) de piso,48,Coapa,2026-07-23,12:30,21:00,30
T001-040,Laura,Vázquez Ramírez,Vendedor(a) de piso,48,Coapa,2026-07-24,12:30,21:00,30
T001-040,Laura,Vázquez Ramírez,Vendedor(a) de piso,48,Coapa,2026-07-25,12:30,21:00,30
T001-040,Laura,Vázquez Ramírez,Vendedor(a) de piso,48,Coapa,2026-07-26,12:30,21:00,30
T001-041,Gabriela,Espinoza Domínguez,Almacenista,24,Coapa,2026-07-23,15:00,21:00,0
T001-041,Gabriela,Espinoza Domínguez,Almacenista,24,Coapa,2026-07-24,15:00,21:00,0
T001-041,Gabriela,Espinoza Domínguez,Almacenista,24,Coapa,2026-07-25,09:00,15:00,0
T001-041,Gabriela,Espinoza Domínguez,Almacenista,24,Coapa,2026-07-26,09:00,15:00,0
T001-042,Manuel,Estrada Chávez,Almacenista,48,Coapa,2026-07-20,09:00,17:30,30
T001-042,Manuel,Estrada Chávez,Almacenista,48,Coapa,2026-07-21,09:00,17:30,30
T001-042,Manuel,Estrada Chávez,Almacenista,48,Coapa,2026-07-22,09:00,17:30,30
T001-042,Manuel,Estrada Chávez,Almacenista,48,Coapa,2026-07-23,09:00,17:30,30
T001-042,Manuel,Estrada Chávez,Almacenista,48,Coapa,2026-07-24,09:00,17:30,30
T001-042,Manuel,Estrada Chávez,Almacenista,48,Coapa,2026-07-26,09:00,17:30,30
T001-043,Beatriz,Hernández García,Vendedor(a) de piso,24,Coapa,2026-07-23,15:00,21:00,0
T001-043,Beatriz,Hernández García,Vendedor(a) de piso,24,Coapa,2026-07-24,15:00,21:00,0
T001-043,Beatriz,Hernández García,Vendedor(a) de piso,24,Coapa,2026-07-25,09:00,15:00,0
T001-043,Beatriz,Hernández García,Vendedor(a) de piso,24,Coapa,2026-07-26,09:00,15:00,0
T001-044,Ana,Acosta Campos,Vendedor(a) de piso,24,Coapa,2026-07-20,15:00,21:00,0
T001-044,Ana,Acosta Campos,Vendedor(a) de piso,24,Coapa,2026-07-24,15:00,21:00,0
T001-044,Ana,Acosta Campos,Vendedor(a) de piso,24,Coapa,2026-07-25,15:00,21:00,0
T001-044,Ana,Acosta Campos,Vendedor(a) de piso,24,Coapa,2026-07-26,15:00,21:00,0
T001-045,Rodrigo,Álvarez Campos,Vendedor(a) de piso,24,Coapa,2026-07-20,15:00,21:00,0
T001-045,Rodrigo,Álvarez Campos,Vendedor(a) de piso,24,Coapa,2026-07-24,15:00,21:00,0
T001-045,Rodrigo,Álvarez Campos,Vendedor(a) de piso,24,Coapa,2026-07-25,15:00,21:00,0
T001-045,Rodrigo,Álvarez Campos,Vendedor(a) de piso,24,Coapa,2026-07-26,15:00,21:00,0
T001-046,Leticia,Escobar Solís,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-046,Leticia,Escobar Solís,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-046,Leticia,Escobar Solís,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-046,Leticia,Escobar Solís,Vendedor(a) de piso,48,Coapa,2026-07-24,09:00,17:30,30
T001-046,Leticia,Escobar Solís,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-046,Leticia,Escobar Solís,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-047,Rodrigo,Trejo Cortés,Cajero(a),48,Coapa,2026-07-20,09:00,17:30,30
T001-047,Rodrigo,Trejo Cortés,Cajero(a),48,Coapa,2026-07-21,09:00,17:30,30
T001-047,Rodrigo,Trejo Cortés,Cajero(a),48,Coapa,2026-07-23,09:00,17:30,30
T001-047,Rodrigo,Trejo Cortés,Cajero(a),48,Coapa,2026-07-24,09:00,17:30,30
T001-047,Rodrigo,Trejo Cortés,Cajero(a),48,Coapa,2026-07-25,09:00,17:30,30
T001-047,Rodrigo,Trejo Cortés,Cajero(a),48,Coapa,2026-07-26,09:00,17:30,30
T001-048,Eduardo,Fuentes Ávila,Vendedor(a) de piso,48,Coapa,2026-07-20,09:00,17:30,30
T001-048,Eduardo,Fuentes Ávila,Vendedor(a) de piso,48,Coapa,2026-07-21,09:00,17:30,30
T001-048,Eduardo,Fuentes Ávila,Vendedor(a) de piso,48,Coapa,2026-07-22,09:00,17:30,30
T001-048,Eduardo,Fuentes Ávila,Vendedor(a) de piso,48,Coapa,2026-07-23,09:00,17:30,30
T001-048,Eduardo,Fuentes Ávila,Vendedor(a) de piso,48,Coapa,2026-07-25,09:00,17:30,30
T001-048,Eduardo,Fuentes Ávila,Vendedor(a) de piso,48,Coapa,2026-07-26,09:00,17:30,30
T001-049,Jimena,Núñez Fuentes,Almacenista,48,Coapa,2026-07-20,12:30,21:00,30
T001-049,Jimena,Núñez Fuentes,Almacenista,48,Coapa,2026-07-22,12:30,21:00,30
T001-049,Jimena,Núñez Fuentes,Almacenista,48,Coapa,2026-07-23,12:30,21:00,30
